scode,sname,trademarket,reportdate,frdate,fcdate,scdate,tcdate,radate,securitytypecode,trademarketcode
002299,圣农发展,深交所中小板,2018-06-30T00:00:00,2018-08-02T00:00:00,-,-,-,2018-08-02T00:00:00,058001001,069001002003
000049,德赛电池,深交所主板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001002001
600569,安阳钢铁,上交所主板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001001001
600193,*ST创兴,上交所风险警示板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001001003
600173,卧龙地产,上交所主板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001001001
600116,三峡水利,上交所主板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001001001
600114,东睦股份,上交所主板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001001001
600230,沧州大化,上交所主板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001001001
000404,长虹华意,深交所主板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001002001
000534,万泽股份,深交所主板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001002001
002916,深南电路,深交所中小板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001002003
002827,高争民爆,深交所中小板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001002003
300588,熙菱信息,深交所创业板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001002002
002860,星帅尔,深交所中小板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001002003
300593,新雷能,深交所创业板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001002002
603658,安图生物,上交所主板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001001001
300529,健帆生物,深交所创业板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001002002
300371,汇中股份,深交所创业板,2018-06-30T00:00:00,2018-08-03T00:00:00,2018-08-04T00:00:00,-,-,2018-08-04T00:00:00,058001001,069001002002
002706,良信电器,深交所中小板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001002003
300059,东方财富,深交所创业板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001002002
601339,百隆东方,上交所主板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001001001
002439,启明星辰,深交所中小板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001002003
002317,众生药业,深交所中小板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001002003
601678,滨化股份,上交所主板,2018-06-30T00:00:00,2018-08-03T00:00:00,-,-,-,2018-08-03T00:00:00,058001001,069001001001
000042,中洲控股,深交所主板,2018-06-30T00:00:00,2018-08-04T00:00:00,-,-,-,2018-08-04T00:00:00,058001001,069001002001
002017,东信和平,深交所中小板,2018-06-30T00:00:00,2018-08-04T00:00:00,-,-,-,2018-08-04T00:00:00,058001001,069001002003
600343,航天动力,上交所主板,2018-06-30T00:00:00,2018-08-04T00:00:00,-,-,-,2018-08-04T00:00:00,058001001,069001001001
000628,高新发展,深交所主板,2018-06-30T00:00:00,2018-08-04T00:00:00,-,-,-,2018-08-04T00:00:00,058001001,069001002001
600733,北汽蓝谷,上交所主板,2018-06-30T00:00:00,2018-08-04T00:00:00,-,-,-,2018-08-04T00:00:00,058001001,069001001001
300633,开立医疗,深交所创业板,2018-06-30T00:00:00,2018-08-04T00:00:00,-,-,-,2018-08-04T00:00:00,058001001,069001002002
300601,康泰生物,深交所创业板,2018-06-30T00:00:00,2018-08-04T00:00:00,2018-08-29T00:00:00,-,-,2018-08-29T00:00:00,058001001,069001002002
002750,龙津药业,深交所中小板,2018-06-30T00:00:00,2018-08-04T00:00:00,-,-,-,2018-08-04T00:00:00,058001001,069001002003
002437,誉衡药业,深交所中小板,2018-06-30T00:00:00,2018-08-04T00:00:00,-,-,-,2018-08-04T00:00:00,058001001,069001002003
002353,杰瑞股份,深交所中小板,2018-06-30T00:00:00,2018-08-04T00:00:00,-,-,-,2018-08-04T00:00:00,058001001,069001002003
